RGID,RGLB,RGPL,RGPU,RGSM
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS32_1_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS32_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS32_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS32_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS32_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_6_T1
H2HY7DSX7.4,lib1,illumina,H2HY7DSX7.4,PS33_7_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_8_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_10_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS33_12_T1
8301.2,lib2,illumina,8301.2,PS34_1_T1
